,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
0,/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,
1,/html/body/document/type/sequence,2,1,,,,,,,,,,,,,
2,/html/body/document/type/sequence/filename,ex_260368.htm,2,,,,,,,,,,,,,
3,/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,3,,,,,,,,,,,,,
4,/html/body/document/type/sequence/filename/description/text/title,ex_260368.htm,4,,,,,,,,,,,,,
5,/html/body/document/type/sequence/filename/description/text/p[1]/font/b,Exhibit 2.1,5,,,,,,,,,,,,,
6,/html/body/document/type/sequence/filename/description/text/p[3]/b,Execution Version,6,,,,,,,,,,,,,
7,/html/body/document/type/sequence/filename/description/text/p[8]/b,AGREEMENT AND PLAN OF MERGER,7,/html/body/document/type/sequence/filename/description/text/p[8]/b,AGREEMENT AND PLAN OF MERGER,t,0,"[0.0036537963202902305, 0.4156520833333333, 0.16869583333333332, 0.00038870173620108835]",1.0,0.0,0.0036537963202902305,0.4156520833333333,0.16869583333333332,0.00038870173620108835,0.0036537963202902305,1.0
8,/html/body/document/type/sequence/filename/description/text/p[10]/b,BY AND AMONG,8,/html/body/document/type/sequence/filename/description/text/p[10]/b,BY AND AMONG,t,1,"[0.00445711324177248, 0.46365555555555554, 0.07268888888888889, 0.00038870173620108835]",1.0,1.0,0.00445711324177248,0.46365555555555554,0.07268888888888889,0.00038870173620108835,0.00445711324177248,1.0
9,/html/body/document/type/sequence/filename/description/text/p[12]/b,QAD Inc.,9,/html/body/document/type/sequence/filename/description/text/p[12]/b,QAD Inc.,t,2,"[0.005260430163254729, 0.4809680555555556, 0.03805881944444444, 0.00038870173620108835]",1.0,2.0,0.005260430163254729,0.4809680555555556,0.03805881944444444,0.00038870173620108835,0.005260430163254729,1.0
